Country,avg(Healthy_life_expectancy)
Croatia,709.0000
Afghanistan,289.0000
Romania,655.0000
"Bosnia and Herzegovina",665.0000
Ukraine,583.0000
Lesotho*,0.0000
Bulgaria,640.0000
Kyrgyzstan,638.0000
Slovakia,707.0000
Thailand,697.0000
Moldova,597.0000
Albania,719.0000
Tunisia,656.0000
"North Macedonia",637.0000
Turkmenistan*,516.0000
Lebanon,631.0000
Kosovo,569.0000
Peru,735.0000
Nigeria,300.0000
Portugal,777.0000
Mali,311.0000
"South Africa",361.0000
Iraq,554.0000
Indonesia,539.0000
Czechia,715.0000
Panama,709.0000
Jamaica,646.0000
"Sierra Leone",273.0000
Ghana,409.0000
Paraguay,624.0000
Italy,801.0000
Mongolia,467.0000
Cyprus,819.0000
Bolivia,555.0000
Hungary,668.0000
Uganda,418.0000
Cambodia,505.0000
Chile,748.0000
Namibia,354.0000
Cameroon,317.0000
Honduras,555.0000
Colombia,720.0000
Lithuania,659.0000
Montenegro,659.0000
Chad*,225.0000
"Sri Lanka",660.0000
"Palestinian Territories*",521.0000
Liberia*,309.0000
Russia,586.0000
Senegal,447.0000
Kenya,401.0000
Venezuela,578.0000
Ecuador,708.0000
Zambia,306.0000
Argentina,662.0000
Serbia,658.0000
Latvia,637.0000
Yemen*,384.0000
Gabon,396.0000
"Costa Rica",744.0000
Botswana*,280.0000
Morocco,565.0000
Gambia*,369.0000
Vietnam,611.0000
Zimbabwe,270.0000
Mauritius,568.0000
Greece,774.0000
Pakistan,374.0000
Slovenia,769.0000
Guatemala*,522.0000
Mexico,623.0000
Turkey,702.0000
Guinea,275.0000
India,471.0000
"Ivory Coast",322.0000
Comoros*,424.0000
Malaysia,620.0000
"Burkina Faso",320.0000
Nepal,499.0000
Togo,360.0000
Brazil,615.0000
Ethiopia,457.0000
Mauritania*,450.0000
Poland,712.0000
Philippines,514.0000
China,705.0000
Israel,818.0000
Niger*,326.0000
Congo,355.0000
Iran,642.0000
Kuwait*,747.0000
Spain,808.0000
Algeria,643.0000
"Eswatini Kingdom of*",197.0000
Madagascar*,378.0000
Bahrain,625.0000
Kazakhstan,611.0000
Malawi,388.0000
Malta,789.0000
"Taiwan Province of China",733.0000
"South Korea",841.0000
"United States",628.0000
"Dominican Republic",577.0000
Libya*,606.0000
"Saudi Arabia",577.0000
Laos,479.0000
Bangladesh,581.0000
Iceland,803.0000
Myanmar,491.0000
Mozambique,191.0000
Jordan,675.0000
Belgium,764.0000
Georgia,595.0000
Armenia,668.0000
"El Salvador",607.0000
Nicaragua,617.0000
"North Cyprus*",819.0000
Japan,866.0000
Benin,335.0000
Uzbekistan,600.0000
"United Arab Emirates",633.0000
Egypt,548.0000
Uruguay,672.0000
France,808.0000
Tanzania,425.0000
Belarus*,629.0000
Tajikistan,518.0000
Austria,774.0000
"United Kingdom",750.0000
Estonia,728.0000
Australia,772.0000
Azerbaijan*,560.0000
Germany,776.0000
Canada,783.0000
"Hong Kong S.A.R. of China",942.0000
Luxembourg*,790.0000
Ireland,779.0000
Netherlands,787.0000
Switzerland,822.0000
Norway,786.0000
"New Zealand",752.0000
Sweden,803.0000
Denmark,777.0000
Finland,775.0000
Rwanda*,462.0000
Singapore,851.0000
