Country,max(Healthy_life_expectancy)
Croatia,709
Afghanistan,289
Romania,655
"Bosnia and Herzegovina",665
Ukraine,583
Lesotho*,0
Bulgaria,640
Kyrgyzstan,638
Slovakia,707
Thailand,697
Moldova,597
Albania,719
Tunisia,656
"North Macedonia",637
Turkmenistan*,516
Lebanon,631
Kosovo,569
Peru,735
Nigeria,300
Portugal,777
Mali,311
"South Africa",361
Iraq,554
Indonesia,539
Czechia,715
Panama,709
Jamaica,646
"Sierra Leone",273
Ghana,409
Paraguay,624
Italy,801
Mongolia,467
Cyprus,819
Bolivia,555
Hungary,668
Uganda,418
Cambodia,505
Chile,748
Namibia,354
Cameroon,317
Honduras,555
Colombia,720
Lithuania,659
Montenegro,659
Chad*,225
"Sri Lanka",660
"Palestinian Territories*",521
Liberia*,309
Russia,586
Senegal,447
Kenya,401
Venezuela,578
Ecuador,708
Zambia,306
Argentina,662
Serbia,658
Latvia,637
Yemen*,384
Gabon,396
"Costa Rica",744
Botswana*,280
Morocco,565
Gambia*,369
Vietnam,611
Zimbabwe,270
Mauritius,568
Greece,774
Pakistan,374
Slovenia,769
Guatemala*,522
Mexico,623
Turkey,702
Guinea,275
India,471
"Ivory Coast",322
Comoros*,424
Malaysia,620
"Burkina Faso",320
Nepal,499
Togo,360
Brazil,615
Ethiopia,457
Mauritania*,450
Poland,712
Philippines,514
China,705
Israel,818
Niger*,326
Congo,355
Iran,642
Kuwait*,747
Spain,808
Algeria,643
"Eswatini Kingdom of*",197
Madagascar*,378
Bahrain,625
Kazakhstan,611
Malawi,388
Malta,789
"Taiwan Province of China",733
"South Korea",841
"United States",628
"Dominican Republic",577
Libya*,606
"Saudi Arabia",577
Laos,479
Bangladesh,581
Iceland,803
Myanmar,491
Mozambique,191
Jordan,675
Belgium,764
Georgia,595
Armenia,668
"El Salvador",607
Nicaragua,617
"North Cyprus*",819
Japan,866
Benin,335
Uzbekistan,600
"United Arab Emirates",633
Egypt,548
Uruguay,672
France,808
Tanzania,425
Belarus*,629
Tajikistan,518
Austria,774
"United Kingdom",750
Estonia,728
Australia,772
Azerbaijan*,560
Germany,776
Canada,783
"Hong Kong S.A.R. of China",942
Luxembourg*,790
Ireland,779
Netherlands,787
Switzerland,822
Norway,786
"New Zealand",752
Sweden,803
Denmark,777
Finland,775
Rwanda*,462
Singapore,851
